benchmark,key_decimals,split,moneyness_bucket,maturity_bucket,n_hidden_rows,n_hidden_with_obs_twin,pct_hidden_with_twin,twin_mae,twin_iv_range_mean
spy_phase1_random20_noiselow_otm,10,val,call_wing,medium,160591,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,deep_call_wing,medium,48993,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,deep_put_wing,long,171831,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,put_wing,long,121820,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,atm,long,103657,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,call_wing,long,107179,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,deep_call_wing,long,124174,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,put_wing,short,226427,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,atm,short,261384,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,deep_put_wing,short,87140,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,call_wing,short,116257,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,deep_put_wing,medium,202079,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,put_wing,medium,188078,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,atm,medium,190539,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,call_wing,medium,160591,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,deep_call_wing,medium,48993,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,deep_put_wing,long,171831,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,put_wing,long,121820,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,atm,long,103657,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,call_wing,long,107179,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,deep_call_wing,long,124174,0,0.0,,
spy_phase1_random20_noiselow_otm,8,val,deep_call_wing,short,1618,0,0.0,,
spy_phase1_random20_noiselow_otm,10,val,deep_call_wing,short,1618,0,0.0,,
spy_phase1_random20_noiselow_otm,12,val,deep_call_wing,short,1618,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,put_wing,short,231299,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,atm,short,320106,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,call_wing,short,57713,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,deep_put_wing,short,77417,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,deep_put_wing,medium,221125,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,put_wing,medium,240554,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,atm,medium,231010,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,call_wing,medium,134772,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,deep_call_wing,medium,32341,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,deep_put_wing,long,210349,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,put_wing,long,130643,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,atm,long,97177,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,call_wing,long,102152,0,0.0,,
spy_phase1_random20_noiselow_otm,8,test,deep_call_wing,long,127172,0,0.0,,
spy_phase1_random20_noiselow_otm,10,test,put_wing,short,231299,0,0.0,,
spy_phase1_random20_noiselow_otm,10,test,atm,short,320106,0,0.0,,
spy_phase1_random20_noiselow_otm,10,test,call_wing,short,57713,0,0.0,,
spy_phase1_random20_noiselow_otm,10,test,deep_put_wing,short,77417,0,0.0,,
spy_phase1_random20_noiselow_otm,10,test,deep_put_wing,medium,221125,0,0.0,,
spy_phase1_random20_noiselow_otm,10,test,put_wing,medium,240554,0,0.0,,
spy_phase1_random20_noiselow_otm,10,test,atm,medium,231010,0,0.0,,
spy_phase1_random20_noiselow_otm,10,test,call_wing,medium,134772,0,0.0,,
spy_phase1_random20_noiselow_otm,10,test,deep_call_wing,medium,32341,0,0.0,,
spy_phase1_random20_noiselow_otm,10,test,deep_put_wing,long,210349,0,0.0,,
spy_phase1_random20_noiselow_otm,10,test,put_wing,long,130643,0,0.0,,
